序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
87,QT_Return_switch,MainCameraUsbTrafficRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraUsbTrafficRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraUsbTrafficRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：MainCameraUsbTrafficRange:min:max:value:step(可选)。 代码摘要：// MainCameraUsbTrafficRange:min:max:value:step(可选) if (parts.length >= 4) { const min = parseInt(parts[1], 10); const max = parseInt(parts[2], 10); const value = parseInt(parts[3], 10); const step = (parts.length >= 5) ? Math.max(1, par...",MainCameraUsbTrafficRange:min:max:value:step(可选),,QT_Return message 建议: MainCameraUsbTrafficRange:...
88,QT_Return_switch,MainCameraGainRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraGainRange」。,"parts[0]: 与 Qt 约定的下行关键字「MainCameraGainRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { console.log('MainCameraGainRange:', parts[1], ',', parts[2], ',', parts[3]); this.SendConsoleLogMsg('MainCameraGainRange:' + parts[1] + ',' + parts[2] + ',' + parts[3], 'info'); this.MainCameraGainMin = parts[1]...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: MainCameraGainRange:...
89,QT_Return_switch,GuiderGainRange,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderGainRange」。,parts[0]: 与 Qt 约定的下行关键字「GuiderGainRange」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 4) { this.GuiderGainMin = parts[1]; this.GuiderGainMax = parts[2]; const guiderGainValue = parts[3]; const gainItem = this.GuiderConfigItems.find(item => item.label === 'Gain'); if (gainItem) { gainItem.inputMin = pa...,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: GuiderGainRange:...
90,QT_Return_switch,OutputPowerStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「OutputPowerStatus」。,"parts[0]: 与 Qt 约定的下行关键字「OutputPowerStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const index = parseInt(parts[1], 10); const value = parseInt(parts[2], 10); if (index === 1) { this.OutPutPower_1_ON = value === 1; } else if (index === 2) { this.OutPutPower_2_ON = value === 1; } } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: OutputPowerStatus:...
91,QT_Return_switch,PHD2StarBoxView,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2StarBoxView」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2StarBoxView」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const view = parts[1]; this.$bus.$emit('PHD2StarBoxView', view); } break;",向下游抛出 $bus 事件: PHD2StarBoxView,,QT_Return message 建议: PHD2StarBoxView:...
92,QT_Return_switch,PHD2StarCrossView,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2StarCrossView」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2StarCrossView」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const view = parts[1]; this.$bus.$emit('PHD2StarCrossView', view); } break;",向下游抛出 $bus 事件: PHD2StarCrossView,,QT_Return message 建议: PHD2StarCrossView:...
93,QT_Return_switch,PHD2StarBoxPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2StarBoxPosition」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2StarBoxPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：同步把“锁定星点”的原始像素坐标广播给 UI（用于显示导星的是哪颗星）。 代码摘要：if (parts.length === 5) { const PHD2ImageSize_X = parseInt(parts[1], 10); const PHD2ImageSize_Y = parseInt(parts[2], 10); const Box_X = parseInt(parts[3], 10); const Box_Y = parseInt(parts[4], 10); this.DrawPHD2Box(PHD2ImageSize_X, PHD2I...",向下游抛出 $bus 事件: GuiderLockStar；同步把“锁定星点”的原始像素坐标广播给 UI（用于显示导星的是哪颗星）,,QT_Return message 建议: PHD2StarBoxPosition:...
94,QT_Return_switch,PHD2MultiStarsPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2MultiStarsPosition」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2MultiStarsPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 5) { const PHD2ImageSize_X = parseInt(parts[1], 10); const PHD2ImageSize_Y = parseInt(parts[2], 10); const Box_X = parseInt(parts[3], 10); const Box_Y = parseInt(parts[4], 10); this.DrawPHD2MultiStars(PHD2ImageSize_X...",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: PHD2MultiStarsPosition:...
95,QT_Return_switch,ClearPHD2MultiStars,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ClearPHD2MultiStars」。,parts[0]: 与 Qt 约定的下行关键字「ClearPHD2MultiStars」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.$bus.$emit('ClearPHD2MultiStars'); break;,向下游抛出 $bus 事件: ClearPHD2MultiStars,,QT_Return message 建议: ClearPHD2MultiStars:...
96,QT_Return_switch,PHD2StarCrossPosition,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「PHD2StarCrossPosition」。,"parts[0]: 与 Qt 约定的下行关键字「PHD2StarCrossPosition」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：内置导星（GuiderCore）消息。 代码摘要：if (parts.length === 5) { const PHD2ImageSize_X = parseInt(parts[1], 10); const PHD2ImageSize_Y = parseInt(parts[2], 10); const Cross_X = parseInt(parts[3], 10); const Cross_Y = parseInt(parts[4], 10); this.DrawPHD2Cross(PHD2ImageSize_X,...",内置导星（GuiderCore）消息,,QT_Return message 建议: PHD2StarCrossPosition:...
97,QT_Return_switch,GuiderCoreState,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderCoreState」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderCoreState」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const state = parseInt(parts[1], 10); this.$bus.$emit('GuiderCoreState', state); } break;",向下游抛出 $bus 事件: GuiderCoreState,,QT_Return message 建议: GuiderCoreState:...
98,QT_Return_switch,GuiderCalibration,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderCalibration」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderCalibration」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：形如：GuiderCalibration:cameraAngleDeg=...:orthoErrDeg=...:...。 代码摘要：// 形如：GuiderCalibration:cameraAngleDeg=...:orthoErrDeg=...:... this.$bus.$emit('GuiderCalibration', data.message); break;",向下游抛出 $bus 事件: GuiderCalibration；形如：GuiderCalibration:cameraAngleDeg=...:orthoErrDeg=...:...,,QT_Return message 建议: GuiderCalibration:...
99,QT_Return_switch,GuiderPulse,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderPulse」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderPulse」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：形如：GuiderPulse:NORTH:110:raErrPx=...:decErrPx=...。 代码摘要：// 形如：GuiderPulse:NORTH:110:raErrPx=...:decErrPx=... this.$bus.$emit('GuiderPulse', data.message); break;",向下游抛出 $bus 事件: GuiderPulse；形如：GuiderPulse:NORTH:110:raErrPx=...:decErrPx=...,,QT_Return message 建议: GuiderPulse:...
100,QT_Return_switch,GuiderStarSelected,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderStarSelected」。,"parts[0]: 与 Qt 约定的下行关键字「GuiderStarSelected」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：形如：GuiderStarSelected:x=885.00:y=366.00:snr=806.3:hfd=4.47。 代码摘要：// 形如：GuiderStarSelected:x=885.00:y=366.00:snr=806.3:hfd=4.47 this.$bus.$emit('GuiderStarSelected', data.message); break;",向下游抛出 $bus 事件: GuiderStarSelected；形如：GuiderStarSelected:x=885.00:y=366.00:snr=806.3:hfd=4.47,,QT_Return message 建议: GuiderStarSelected:...
101,QT_Return_switch,QTClientVersion,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「QTClientVersion」。,"parts[0]: 与 Qt 约定的下行关键字「QTClientVersion」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：通过全局事件总线向其他组件广播当前系统版本信息。 代码摘要：if (parts.length === 2) { this.QTClientVersion = parts[1]; // 通过全局事件总线向其他组件广播当前系统版本信息 this.$bus.$emit('SystemVersion', this.TotalVersion, this.QTClientVersion, this.VueClientVersion); } break;",向下游抛出 $bus 事件: SystemVersion；通过全局事件总线向其他组件广播当前系统版本信息,,QT_Return message 建议: QTClientVersion:...
102,QT_Return_switch,TotalVersion,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TotalVersion」。,"parts[0]: 与 Qt 约定的下行关键字「TotalVersion」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：版本号更新时，同步通过信号发送给需要显示版本信息的组件。 代码摘要：if (parts.length === 2) { this.TotalVersion = parts[1]; // 版本号更新时，同步通过信号发送给需要显示版本信息的组件 this.$bus.$emit('SystemVersion', this.TotalVersion, this.QTClientVersion, this.VueClientVersion); } break;",向下游抛出 $bus 事件: SystemVersion；版本号更新时，同步通过信号发送给需要显示版本信息的组件,,QT_Return message 建议: TotalVersion:...
103,QT_Return_switch,CaptureImageSaveStatus,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CaptureImageSaveStatus」。,"parts[0]: 与 Qt 约定的下行关键字「CaptureImageSaveStatus」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：当前不可利用,重置为默认路径。 代码摘要：if (parts.length === 2) { const status = parts[1]; if (status === 'Repeat') { this.callShowMessageBox(this.$t('There is no need to save it again'), 'error'); } else if (status === 'Success') { this.callShowMessageBox(this.$t('Image saved...","向下游抛出 $bus 事件: AppSendMessage；当前不可利用,重置为默认路径",,QT_Return message 建议: CaptureImageSaveStatus:...
104,QT_Return_switch,getUSBFail,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getUSBFail」。,"parts[0]: 与 Qt 约定的下行关键字「getUSBFail」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：处理包含动态内容的消息。 代码摘要：if (parts.length >= 2) { const errorMsg = parts.slice(1).join(':'); // 获取完整的错误消息 // 处理包含动态内容的消息 let translatedMsg = errorMsg; // 匹配 ""Failed to get filesystem information for X, error: Y"" const fsInfoMatch = errorMsg.match(/^Failed to get...",处理包含动态内容的消息,,QT_Return message 建议: getUSBFail:...
105,QT_Return_switch,INDIServerDebug,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「INDIServerDebug」。,"parts[0]: 与 Qt 约定的下行关键字「INDIServerDebug」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const message = parts[1]; this.$bus.$emit('INDIServerDebug', message); } break;",向下游抛出 $bus 事件: INDIServerDebug,,QT_Return message 建议: INDIServerDebug:...
106,QT_Return_switch,HotspotName,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「HotspotName」。,"parts[0]: 与 Qt 约定的下行关键字「HotspotName」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Name = parts[1]; this.$bus.$emit('HotspotName', Name); } break;",向下游抛出 $bus 事件: HotspotName,,QT_Return message 建议: HotspotName:...
107,QT_Return_switch,EditHotspotNameSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「EditHotspotNameSuccess」。,parts[0]: 与 Qt 约定的下行关键字「EditHotspotNameSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：this.$bus.$emit('EditHotspotNameSuccess'); break;,向下游抛出 $bus 事件: EditHotspotNameSuccess,,QT_Return message 建议: EditHotspotNameSuccess:...
108,QT_Return_switch,DSLRsSetup,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DSLRsSetup」。,"parts[0]: 与 Qt 约定的下行关键字「DSLRsSetup」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Name = parts[1]; this.$bus.$emit('ShowDSLRsSetup', Name); } if (parts.length === 5) { const Name = parts[1]; const SizeX = parts[2]; const SizeY = parts[3]; const PixelSize = parts[4]; this.$bus.$emit('Rel...",向下游抛出 $bus 事件: ShowDSLRsSetup、ReloadShowDSLRsSetup,,QT_Return message 建议: DSLRsSetup:...
109,QT_Return_switch,ConfigureRecovery,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConfigureRecovery」。,"parts[0]: 与 Qt 约定的下行关键字「ConfigureRecovery」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：新增：单向导星方向（内置导星）。 代码摘要：if (parts.length === 3) { const ConfigName = parts[1]; const ConfigValue = parts[2]; console.log('Configure:', ConfigName, ',', ConfigValue); this.SendConsoleLogMsg('Configure Recovery:' + parts[1] + ',' + parts[2], 'info'); this.$bus.$e...",向下游抛出 $bus 事件: AppSendMessage；新增：单向导星方向（内置导星）,,QT_Return message 建议: ConfigureRecovery:...
110,QT_Return_switch,ConnectDriverSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConnectDriverSuccess」。,parts[0]: 与 Qt 约定的下行关键字「ConnectDriverSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const device = parts[1]; this.connectDriverSuccess(device); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: ConnectDriverSuccess:...
111,QT_Return_switch,getDevicePort,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getDevicePort」。,parts[0]: 与 Qt 约定的下行关键字「getDevicePort」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const driverType = parts[1]; const usbSerialPath = parts[2]; const target = this.devices.find(dev => dev.driverType === driverType); if (target) { target.usbSerialPath = usbSerialPath; this.$bus.$emit('sendCurre...,向下游抛出 $bus 事件: sendCurrentConnectedDevices,,QT_Return message 建议: getDevicePort:...
112,QT_Return_switch,getSDKVersion,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getSDKVersion」。,"parts[0]: 与 Qt 约定的下行关键字「getSDKVersion」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const driverType = parts[1]; const sdkVersion = parts[2]; console.log('getSDKVersion:', driverType, ',', sdkVersion); const target = this.devices.find(dev => dev.driverType === driverType); if (target) { target....",向下游抛出 $bus 事件: sendCurrentConnectedDevices,,QT_Return message 建议: getSDKVersion:...
113,QT_Return_switch,ConnectDriverFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConnectDriverFailed」。,parts[0]: 与 Qt 约定的下行关键字「ConnectDriverFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：支持两种格式：。 代码摘要：// 支持两种格式： // 1. ConnectDriverFailed:message (旧格式，兼容) // 2. ConnectDriverFailed:DeviceType:ErrorMessage (新格式，包含设备类型) if (parts.length >= 2) { let errorMessage; let deviceType = ''; if (parts.length >= 3) { // 新格式：ConnectDriverFailed:Devi...,支持两种格式：,,QT_Return message 建议: ConnectDriverFailed:...
114,QT_Return_switch,SetConnectionModeSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetConnectionModeSuccess」。,parts[0]: 与 Qt 约定的下行关键字「SetConnectionModeSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：格式：SetConnectionModeSuccess:DeviceDescription:Mode。 代码摘要：// 格式：SetConnectionModeSuccess:DeviceDescription:Mode if (parts.length === 3) { const deviceType = (parts[1] || '').trim(); const mode = (parts[2] || '').trim().toUpperCase() === 'SDK' ? 'SDK' : 'INDI'; this.onSetConnectionModeSuccess(de...,格式：SetConnectionModeSuccess:DeviceDescription:Mode,,QT_Return message 建议: SetConnectionModeSuccess:...
115,QT_Return_switch,SetConnectionModeFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetConnectionModeFailed」。,"parts[0]: 与 Qt 约定的下行关键字「SetConnectionModeFailed」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：格式：SetConnectionModeFailed:DeviceDescription:ErrorMessage。 代码摘要：// 格式：SetConnectionModeFailed:DeviceDescription:ErrorMessage if (parts.length >= 3) { const deviceType = (parts[1] || '').trim(); const errorMsg = parts.slice(2).join(':'); // 兼容错误信息里包含 ':' this.onSetConnectionModeFailed(deviceType, erro...",格式：SetConnectionModeFailed:DeviceDescription:ErrorMessage,,QT_Return message 建议: SetConnectionModeFailed:...
116,QT_Return_switch,DisconnectDriverSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DisconnectDriverSuccess」。,parts[0]: 与 Qt 约定的下行关键字「DisconnectDriverSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const device = parts[1]; this.disconnectDriversuccess(device); } break;,见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: DisconnectDriverSuccess:...
117,QT_Return_switch,DisconnectDriverFail,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DisconnectDriverFail」。,parts[0]: 与 Qt 约定的下行关键字「DisconnectDriverFail」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const driver = parts[1]; this.disconnectDriverFail(driver) },见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: DisconnectDriverFail:...
