序号,协议类型,消息前缀,静态示例,参数说明,后端参数匹配,源文件,前端用途说明,后端用途待确认,后端处理说明
176,Vue_Command,saveToConfigFile:,saveToConfigFile:GuiderGain:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
177,Vue_Command,saveToConfigFile:,saveToConfigFile:GuiderPixelSize:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
178,Vue_Command,saveToConfigFile:,saveToConfigFile:GuiderRaGuideDir:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
179,Vue_Command,saveToConfigFile:,saveToConfigFile:HighFPSMode:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/components/view-settings-dialog.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
180,Vue_Command,saveToConfigFile:,saveToConfigFile:MultiStarGuider:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
181,Vue_Command,saveToConfigFile:,saveToConfigFile:RaAggression:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/App.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
182,Vue_Command,saveToConfigFile:,saveToConfigFile:isAutoLocation:,parts[1]: string 配置键（如 …）; parts[2]: string 值 | 若 Value 内含 ':' 会与 split 冲突，以 MainWindow 三分支为准。 [与后端对照: 是],是,src/components/location-dialog.vue,持久化客户端配置项（见第二段键名）到 config.ini，并执行 setClientSettings。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | saveToConfigFile → setClientSettings；Coordinates 会 setMountLocation
183,Vue_Command,sendRedBoxState:,sendRedBoxState:,"parts[1..3]: 边长,x,y | size==4。 [与后端对照: 是]",是,src/App.vue,向前端同步红框状态。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | sendRedBoxState size 4
184,Vue_Command,sendSelectStars:,sendSelectStars:,parts[1..2]: string | size==3。 [与后端对照: 是],是,src/App.vue,选星坐标。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | sendSelectStars size 3
185,Vue_Command,sendVisibleArea:,sendVisibleArea:,"parts[1..3] 或含 fov：x,y,scale[,fov] | size 4 或 5。 [与后端对照: 是]",是,src/App.vue,Stellarium 视口可见区域与 scale。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | sendVisibleArea 4 或 5 段
186,Vue_Command,setExposureTime:,setExposureTime:,parts[1]: int ms。 [与后端对照: 是],是,src/components/gui.vue,设置主相机曝光毫秒（未立即拍摄）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""setExposureTime"""
187,Vue_Command,setROIPosition:,setROIPosition:,parts[1]: double ROI_x; parts[2]: double ROI_y | size==3。 [与后端对照: 是],是,src/components/gui.vue,ROI 中心坐标。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | setROIPosition → roiAndFocuserInfo
188,Vue_Command,showRoiImageSuccess:,showRoiImageSuccess:false,parts[1]: bool 字符串。 [与后端对照: 是],是,src/App.vue,ROI 成像成功反馈（曾关联 focus loop）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | showRoiImageSuccess 当前多为日志
189,Vue_Command,showRoiImageSuccess:,showRoiImageSuccess:true,parts[1]: bool 字符串。 [与后端对照: 是],是,src/App.vue,ROI 成像成功反馈（曾关联 focus loop）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | showRoiImageSuccess 当前多为日志
190,Vue_Command,startAutoFlip,startAutoFlip,无参数（后端可能未匹配）。 [与后端对照: 否],否,src/components/MeridianFlipNotifier.vue,触发自动翻转流程。,若主窗口无同名则可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；与 AutoFlip: 设置配合使用
191,Vue_Command,takeExposure:,takeExposure:,parts[1]: int 曝光 ms。 [与后端对照: 是],是,src/components/CircularButton.vue,主相机单次/连拍曝光。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | takeExposure / takeExposureBurst
192,Vue_Command,takeExposureBurst:,takeExposureBurst:,parts[1]: int ms; parts[2]: int 帧数 | size==3。 [与后端对照: 是],是,src/components/CircularButton.vue,主相机单次/连拍曝光。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | takeExposure / takeExposureBurst
193,Vue_Command,wifiSaveB64|,wifiSaveB64|,整段：wifiSaveB64| + Base64(JSON)，非 ':' 主解析。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,Base64 编码的 WiFi 配置 JSON。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith wifiSaveB64| → runSudo/nmcli 等
194,Vue_Command,wifiScan,wifiScan,无参数。 [与后端对照: 是],是,src/components/RPI-Hotspot.vue,扫描 WiFi。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""wifiScan"""
