序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
266,websocket_text_json,QT_Return,TelescopeTrack,hub_to_browser,"QT_Return.message = ""TelescopeTrack:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=TelescopeTrack; 详见 App.vue case 分支,"if (parts.length === 2) { const Switch = parts[1]; this.$bus.$emit('MountTrackSwitch', Switch); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountTrackSwitch,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountTrackSwitch,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeTrack」。,跟踪开关状态相关字段。,medium,
267,websocket_text_json,QT_Return,MountSetSpeedSuccess,hub_to_browser,"QT_Return.message = ""MountSetSpeedSuccess:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MountSetSpeedSuccess; 详见 App.vue case 分支,"if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('newMountSlewRate', num); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,newMountSlewRate,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> newMountSlewRate,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MountSetSpeedSuccess」。,"parts[0]: 与 Qt 约定的下行关键字「MountSetSpeedSuccess」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('newMountSlewRate', num); } break;",medium,
268,websocket_text_json,QT_Return,TelescopePierSide,hub_to_browser,"QT_Return.message = ""TelescopePierSide:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=TelescopePierSide; 详见 App.vue case 分支,"if (parts.length === 2) { const Side = parts[1]; this.$bus.$emit('updateMountPierSide', Side); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,updateMountPierSide,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> updateMountPierSide,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopePierSide」。,"parts[0]: 与 Qt 约定的下行关键字「TelescopePierSide」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Side = parts[1]; this.$bus.$emit('updateMountPierSide', Side); } break;",medium,
269,websocket_text_json,QT_Return,TelescopeTotalSlewRate,hub_to_browser,"QT_Return.message = ""TelescopeTotalSlewRate:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=TelescopeTotalSlewRate; 详见 App.vue case 分支,"if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('MountTotalSlewRate', num); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,MountTotalSlewRate,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> MountTotalSlewRate,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeTotalSlewRate」。,"parts[0]: 与 Qt 约定的下行关键字「TelescopeTotalSlewRate」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const num = parts[1]; this.$bus.$emit('MountTotalSlewRate', num); } break;",medium,
270,websocket_text_json,QT_Return,UpdateScheduleProcess,hub_to_browser,"QT_Return.message = ""UpdateScheduleProcess:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=UpdateScheduleProcess; 详见 App.vue case 分支,"if (parts.length === 3) { const RowNum = parts[1]; const Process = parts[2]; this.$bus.$emit('UpdateScheduleProcess', RowNum, Process); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,UpdateScheduleProcess,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> UpdateScheduleProcess,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「UpdateScheduleProcess」。,parts[1..]: 计划执行进度。,normal,
271,websocket_text_json,QT_Return,ScheduleComplete,hub_to_browser,"QT_Return.message = ""ScheduleComplete:<segments...>""（部分消息 payload 含额外 ':' 需 join）",计划任务完成，通知前端重置按钮状态,// 计划任务完成，通知前端重置按钮状态 this.$bus.$emit('ScheduleComplete'); break;,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,ScheduleComplete,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> ScheduleComplete,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ScheduleComplete」。,计划任务完成通知。,normal,
272,websocket_text_json,QT_Return,ExpTimeList,hub_to_browser,"QT_Return.message = ""ExpTimeList:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=ExpTimeList; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('initExpTimeList', parts[1]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,initExpTimeList,stable,"apps/web-frontend/src/App.vue | Qt mainwindow.cpp | parts[0]== ""ExpTimeList""",App.vue switch(messageType) -> initExpTimeList,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ExpTimeList」。,parts[1]: 曝光时间列表字符串。,normal,
273,websocket_text_json,QT_Return,CameraInExposuring,hub_to_browser,"QT_Return.message = ""CameraInExposuring:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=CameraInExposuring; 详见 App.vue case 分支,"if (parts.length === 2) { const status = parts[1]; this.$bus.$emit('CameraInExposuring', status); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,CameraInExposuring,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> CameraInExposuring,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CameraInExposuring」。,parts[1]: 是否正在曝光（布尔/枚举字符串）。,normal,
274,websocket_text_json,QT_Return,AutoFocusOver,hub_to_browser,"QT_Return.message = ""AutoFocusOver:<segments...>""（部分消息 payload 含额外 ':' 需 join）",新格式: AutoFocusOver:success:bestPosition:minHFR,"if (parts.length >= 4) { // 新格式: AutoFocusOver:success:bestPosition:minHFR const success = parts[1] === 'true'; const bestPosition = parseFloat(parts[2]); const minHFR = parseFloat(parts[3]); this.$bus.$emit('AutoFocusOver', success, bestPosition, minHFR); } else { // 兼容旧格式: AutoFocusOver this.$bus.$emit('AutoFocusO...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,AutoFocusOver,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> AutoFocusOver,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AutoFocusOver」。,自动对焦结束；子段含结果摘要。,high,
275,websocket_text_json,QT_Return,CFWPositionMax,hub_to_browser,"QT_Return.message = ""CFWPositionMax:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=CFWPositionMax; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('SetCFWPositionMax', parts[1]); const cfwCount = parseInt(parts[1], 10) || 0; this.CFWConfigItems = this.CFWConfigItems.filter(item => !/^CFW \[\d+\]$/.test(String(item.label || ''))); for (let i = 1; i <= cfwCount; i++) { this.CFWConfigItems.push({ driverType: 'CFW', label:...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,SetCFWPositionMax|AppSendMessage,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> SetCFWPositionMax|AppSendMessage,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「CFWPositionMax」。,parts[1]: 滤镜槽位数上限等。,normal,
276,websocket_text_json,QT_Return,SetCFWPositionSuccess,hub_to_browser,"QT_Return.message = ""SetCFWPositionSuccess:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=SetCFWPositionSuccess; 详见 App.vue case 分支,"if (parts.length === 2) { const pos1 = parseInt(parts[1], 10); if (!isNaN(pos1) && pos1 > 0) { this.cfwMenuCurrentIndex = pos1 - 1; } this.cfwMenuLastConfirmedIndex = this.cfwMenuCurrentIndex; this.setCfwMenuButtonsDisabled(false); this.updateCfwMenuCurrentDisplay(); this.$bus.$emit('SetCFWPositionSuccess', parts[1]...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,SetCFWPositionSuccess,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> SetCFWPositionSuccess,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetCFWPositionSuccess」。,滤镜轮到位成功。,normal,
277,websocket_text_json,QT_Return,SetCFWPositionFailed,hub_to_browser,"QT_Return.message = ""SetCFWPositionFailed:<segments...>""（部分消息 payload 含额外 ':' 需 join）",失败原因里可能包含 ':'，这里做兼容拼回完整字符串,"if (parts.length >= 2) { // 失败原因里可能包含 ':'，这里做兼容拼回完整字符串 const reason = parts.slice(1).join(':'); this.cfwMenuCurrentIndex = this.cfwMenuLastConfirmedIndex; this.setCfwMenuButtonsDisabled(false); this.updateCfwMenuCurrentDisplay(); this.$bus.$emit('SetCFWPositionFailed', reason); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,SetCFWPositionFailed,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> SetCFWPositionFailed,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「SetCFWPositionFailed」。,滤镜轮到位失败及原因。,normal,
278,websocket_text_json,QT_Return,getCFWList,hub_to_browser,"QT_Return.message = ""getCFWList:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=getCFWList; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('initCFWList', parts[1]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,initCFWList,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> initCFWList,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「getCFWList」。,parts[1]: 滤镜轮槽位名称列表。,normal,
279,websocket_text_json,QT_Return,GuiderSwitchStatus,hub_to_browser,"QT_Return.message = ""GuiderSwitchStatus:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=GuiderSwitchStatus; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('GuiderSwitchStatus', parts[1]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,GuiderSwitchStatus,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> GuiderSwitchStatus,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderSwitchStatus」。,parts[1] 起：导星开关/循环曝光等状态；以 case 内解析为准。,high,
280,websocket_text_json,QT_Return,GuiderLoopExpStatus,hub_to_browser,"QT_Return.message = ""GuiderLoopExpStatus:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=GuiderLoopExpStatus; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('GuiderLoopExpStatus', parts[1]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,GuiderLoopExpStatus,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> GuiderLoopExpStatus,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「GuiderLoopExpStatus」。,parts[1] 起：导星循环曝光状态。,high,
281,websocket_text_json,QT_Return,TelescopeRADEC,hub_to_browser,"QT_Return.message = ""TelescopeRADEC:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=TelescopeRADEC; 详见 App.vue case 分支,"if (parts.length === 3) { this.UpdateCirclePos(parts[1], parts[2]); this.$bus.$emit('updateCurrentLocation', parts[1], parts[2]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,updateCurrentLocation,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> updateCurrentLocation,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeRADEC」。,parts[1..]: 望远镜当前 Ra/Dec（单位以 case 内为准）。,medium,
282,websocket_text_json,QT_Return,TelescopeStatus,hub_to_browser,"QT_Return.message = ""TelescopeStatus:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=TelescopeStatus; 详见 App.vue case 分支,if (parts.length === 2) { this.UpdateTelescopeStatus(parts[1]); } break;,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「TelescopeStatus」。,parts[1..]: 望远镜状态摘要。,medium,
283,websocket_text_json,QT_Return,MainCameraStatus,hub_to_browser,"QT_Return.message = ""MainCameraStatus:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraStatus; 详见 App.vue case 分支,if (parts.length === 2) { this.UpdateMainCameraStatus(parts[1]); } break;,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraStatus」。,主相机状态。,normal,
284,websocket_text_json,QT_Return,MainCameraTemperature,hub_to_browser,"QT_Return.message = ""MainCameraTemperature:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=MainCameraTemperature; 详见 App.vue case 分支,if (parts.length === 2) { this.UpdateMainCameraTemperature(parts[1]); } break;,messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「MainCameraTemperature」。,parts[1]: 传感器温度等。,normal,
285,websocket_text_json,QT_Return,ShowAllImageFolder,hub_to_browser,"QT_Return.message = ""ShowAllImageFolder:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[1] = CaptureImage{...},"if (parts.length >= 3) { // parts[1] = CaptureImage{...} // parts[2] = ScheduleImage{...} // parts[3] = SolveFailedImage{...} (如果存在) const solveFailedImageString = parts.length >= 4 ? parts[3] : 'SolveFailedImage{}'; this.$bus.$emit('ShowAllImageFolder', parts[1], parts[2], solveFailedImageString); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,ShowAllImageFolder,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> ShowAllImageFolder,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ShowAllImageFolder」。,parts[0]: 与 Qt 约定的下行关键字「ShowAllImageFolder」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：parts[1] = CaptureImage{...}。 代码摘要：if (parts.length >= 3) { // parts[1] = CaptureImage{...} // parts[2] = ScheduleImage{...} // parts[3] = SolveFailedImage{...} (如果存在) const solveFailedImageString = parts.length >= 4 ? parts[3] : 'SolveFailedImage{}'; this.$bus.$emit('Sho...,normal,
286,websocket_text_json,QT_Return,ImageFilesName,hub_to_browser,"QT_Return.message = ""ImageFilesName:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=ImageFilesName; 详见 App.vue case 分支,"if (parts.length === 2) { this.$bus.$emit('ImageFilesName', parts[1]); } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,ImageFilesName,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> ImageFilesName,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ImageFilesName」。,"parts[0]: 与 Qt 约定的下行关键字「ImageFilesName」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { this.$bus.$emit('ImageFilesName', parts[1]); } break;",normal,
287,websocket_text_json,QT_Return,USBCheck,hub_to_browser,"QT_Return.message = ""USBCheck:<segments...>""（部分消息 payload 含额外 ':' 需 join）",首先发送清空信号,"// 首先发送清空信号 this.$bus.$emit('ClearUSBList'); const item = this.MainCameraConfigItems.find(item => item.label === 'Save Folder'); item.selectValue = ['local']; // 处理U盘信息：单个或多个U盘都通过相同方式处理 // parts[0] = 'USBCheck' // parts[1] 如果是 'Multiple'，则 parts[2] 开始是U盘列表，格式为 'Name1,Space1:Name2,Space2:...' // 否则 parts[1] 是单个U盘信息，格...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,ClearUSBList|USB_Name_Sapce,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> ClearUSBList|USB_Name_Sapce,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「USBCheck」。,parts[0]: 与 Qt 约定的下行关键字「USBCheck」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：首先发送清空信号。 代码摘要：// 首先发送清空信号 this.$bus.$emit('ClearUSBList'); const item = this.MainCameraConfigItems.find(item => item.label === 'Save Folder'); item.selectValue = ['local']; // 处理U盘信息：单个或多个U盘都通过相同方式处理 // parts[0] = 'USBCheck' // parts[1] 如果是 'Multiple'...,normal,
288,websocket_text_json,QT_Return,USBFilesList,hub_to_browser,"QT_Return.message = ""USBFilesList:<segments...>""（部分消息 payload 含额外 ':' 需 join）","从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀）","try { // 从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀） const colonIndex = data.message.indexOf(':'); if (colonIndex === -1 || colonIndex >= data.message.length - 1) { console.error('USBFilesList: no JSON data found, message:', data.message); this.$bus.$emit('USBFilesList', { error: 'Invalid message format', path: '', files: [...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,USBFilesList,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> USBFilesList,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「USBFilesList」。,"parts[0]: 与 Qt 约定的下行关键字「USBFilesList」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀）。 代码摘要：try { // 从消息中提取JSON部分（跳过 ""USBFilesList:"" 前缀） const colonIndex = data.message.indexOf(':'); if (colonIndex === -1 || colonIndex >= data.message.length - 1) { console.error('USBFilesList: no JSON data found, message:', data.message); this....",normal,
289,websocket_text_json,QT_Return,ImageSaveErroe,hub_to_browser,"QT_Return.message = ""ImageSaveErroe:<segments...>""（部分消息 payload 含额外 ':' 需 join）",parts[0]=ImageSaveErroe; 详见 App.vue case 分支,"if (parts.length === 2) { const Erroe = parts[1]; if (Erroe === 'USB-Null') { this.callShowMessageBox('No USB Drive Detected.', 'error'); } else if (Erroe === 'USB-Multiple') { this.callShowMessageBox('Multiple USB drives detected, please remove excess USB drives.', 'error'); } } break;",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ImageSaveErroe」。,"parts[0]: 与 Qt 约定的下行关键字「ImageSaveErroe」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 2) { const Erroe = parts[1]; if (Erroe === 'USB-Null') { this.callShowMessageBox('No USB Drive Detected.', 'error'); } else if (Erroe === 'USB-Multiple') { this.callShowMessageBox('Multiple USB drives detected, pleas...",normal,
290,websocket_text_json,QT_Return,DetectedStars,hub_to_browser,"QT_Return.message = ""DetectedStars:<segments...>""（部分消息 payload 含额外 ':' 需 join）","console.log('Stars at(', x, ',', y, ') with HFR:', hfr);","console.log('Detected', parts.length, 'stars.'); this.SendConsoleLogMsg('Detected ' + parts.length + ' stars.', 'info'); this.DetectedStarsList = []; for (let i = 0; i < parts.length; i++) { const a = parts[i]; const b = a.split('|'); if (b.length === 3) { const x = b[0]; const y = b[1]; const hfr = b[2]; // console...",messageType 来自 data.message.split(':')[0],case 内 $bus / 状态赋值,default: console.warn 未处理命令,见 case 内逻辑,stable,apps/web-frontend/src/App.vue | Qt 发送侧见 mainwindow/各模块,App.vue switch(messageType) -> inline,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「DetectedStars」。,"parts[0]: 与 Qt 约定的下行关键字「DetectedStars」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：console.log('Stars at(', x, ',', y, ') with HFR:', hfr);。 代码摘要：console.log('Detected', parts.length, 'stars.'); this.SendConsoleLogMsg('Detected ' + parts.length + ' stars.', 'info'); this.DetectedStarsList = []; for (let i = 0; i < parts.length; i++) { const a = parts[i]; const b = a.split('|'); if...",normal,
